Cospeciation Duplication Switch Sorting
9.0 1.0 22.0 8.0
9.0 1.0 11.0 3.0
15.0 6.0 11.0 18.0
16.0 6.0 10.0 9.0
13.0 1.0 18.0 7.0
14.0 4.0 13.0 9.0
13.0 6.0 13.0 18.0
10.0 0.0 20.0 6.0
11.0 7.0 11.0 16.0
14.0 18.0 5.0 70.0
15.0 1.0 13.0 6.0
11.0 3.0 14.0 4.0
12.0 3.0 14.0 6.0
19.0 15.0 2.0 51.0
10.0 1.0 11.0 8.0
17.0 6.0 12.0 19.0
17.0 11.0 3.0 42.0
13.0 2.0 14.0 8.0
17.0 13.0 5.0 49.0
12.0 0.0 13.0 7.0
9.0 2.0 13.0 4.0
16.0 4.0 13.0 14.0
16.0 6.0 9.0 12.0
12.0 5.0 18.0 20.0
11.0 3.0 18.0 8.0
11.0 4.0 21.0 12.0
11.0 2.0 20.0 11.0
14.0 0.0 16.0 5.0
13.0 0.0 13.0 4.0
15.0 3.0 15.0 6.0
13.0 0.0 18.0 3.0
19.0 9.0 7.0 32.0
16.0 2.0 12.0 8.0
13.0 1.0 15.0 7.0
19.0 15.0 0.0 59.0
16.0 5.0 7.0 22.0
14.0 1.0 16.0 5.0
14.0 2.0 12.0 10.0
14.0 0.0 16.0 12.0
12.0 4.0 20.0 12.0
8.0 0.0 18.0 5.0
12.0 1.0 16.0 12.0
13.0 2.0 16.0 7.0
11.0 6.0 17.0 15.0
13.0 0.0 10.0 3.0
13.0 2.0 16.0 6.0
17.0 14.0 3.0 46.0
15.0 3.0 15.0 4.0
22.0 15.0 0.0 38.0
20.0 8.0 6.0 24.0
14.0 0.0 14.0 4.0
13.0 4.0 13.0 9.0
8.0 2.0 20.0 9.0
9.0 2.0 16.0 3.0
15.0 2.0 15.0 7.0
12.0 0.0 17.0 5.0
9.0 0.0 17.0 18.0
11.0 0.0 12.0 1.0
13.0 2.0 17.0 16.0
16.0 3.0 13.0 10.0
