Cospeciation Duplication Switch Sorting
-30.00 0.00 30.00 -9.00
-30.00 0.00 30.00 -11.00
-29.00 0.00 29.00 -8.00
-31.00 0.00 31.00 -10.00
-33.00 0.00 33.00 -10.00
-31.00 0.00 31.00 -9.00
-32.00 0.00 32.00 -9.00
-30.00 -1.00 31.00 -10.00
-30.00 -1.00 31.00 -6.00
-25.00 0.00 25.00 -6.00
OutOfTime
-27.00 0.00 27.00 -4.00
-33.00 0.00 33.00 -11.00
-32.00 -1.00 33.00 -10.00
-29.00 -1.00 30.00 -6.00
-30.00 0.00 30.00 -7.00
OutOfTime
-30.00 0.00 30.00 -8.00
-34.00 -1.00 35.00 -10.00
-28.00 0.00 28.00 -8.00
-33.00 -1.00 34.00 -12.00
-30.00 0.00 30.00 -11.00
-30.00 0.00 30.00 -9.00
-32.00 0.00 3.00 -11.00
-25.00 -1.00 6.00 -5.00
-30.00 0.00 4.00 -11.00
-32.00 0.00 1.00 -10.00
-37.00 0.00 -10.00 -12.00
-30.00 0.00 -8.00 -6.00
-32.00 0.00 0.00 -7.00
-29.00 0.00 2.00 -8.00
-31.00 0.00 6.00 -12.00
-35.00 0.00 -4.00 -13.00
-30.00 0.00 -2.00 -12.00
-35.00 -1.00 2.00 -10.00
-28.00 0.00 -1.00 -7.00
-28.00 -1.00 -1.00 -4.00
-32.00 0.00 -2.00 -11.00
-29.00 0.00 -4.00 -9.00
-30.00 -1.00 8.00 -11.00
