Cospeciation Duplication Switch Sorting
32.0 1.0 25.0 10.0
32.26 0.33 27.4 6.52
35.0 0.31 28.69 8.0
30.33 0.14 29.52 4.67
32.5 2.5 28.0 8.0
35.2 1.0 30.8 11.4
36.5 0.03 25.47 10.01
31.39 0.15 34.46 5.78
32.33 0.33 29.33 6.67
33.41 0.55 27.03 9.83
29.0 0.0 28.0 9.0
35.57 1.2 28.23 9.14
31.38 1.2 26.43 10.75
32.09 0.0 27.91 8.17
32.67 1.5 29.83 8.33
27.0 1.0 24.0 7.0
33.0 1.0 28.0 8.0
33.0 0.0 31.0 6.0
31.98 0.0 26.02 10.96
34.42 0.87 24.71 8.84
36.37 0.5 32.13 8.74
33.0 0.0 28.0 11.0
28.43 0.11 28.46 6.86
29.0 0.31 31.69 4.0
35.0 0.3 26.7 8.0
32.46333333333333 0.27666666666666667 30.256666666666664 11.920000000000002
32.0 1.0 26.0 10.0
