Cospeciation Duplication Switch Sorting
-15.0 0.0 15.0 -4.0
-10.0 0.0 10.0 -2.0
-16.0 0.0 16.0 -5.0
-16.0 0.0 16.0 -6.0
-15.0 0.0 15.0 -5.0
-15.0 0.0 15.0 -4.0
-15.0 0.0 15.0 -4.0
-15.0 0.0 15.0 -4.0
-13.0 0.0 13.0 -2.0
-16.0 0.0 16.0 -2.0
-14.0 0.0 14.0 -3.0
-14.0 0.0 14.0 -5.0
-13.0 0.0 13.0 -3.0
-18.0 0.0 18.0 -7.0
-10.0 0.0 10.0 -3.0
-18.0 0.0 18.0 -6.0
-15.0 0.0 15.0 -5.0
-14.0 0.0 14.0 -5.0
-18.0 0.0 18.0 -5.0
-12.0 0.0 12.0 -3.0
-11.0 0.0 11.0 -2.0
-17.0 0.0 17.0 -5.0
-16.0 0.0 16.0 -5.0
-18.0 0.0 18.0 -6.0
-15.0 0.0 15.0 -4.0
-17.0 0.0 17.0 -5.0
-16.0 0.0 16.0 -4.0
-15.0 0.0 15.0 -4.0
-13.0 0.0 13.0 -4.0
-16.0 0.0 16.0 -4.0
-15.0 0.0 15.0 -4.0
-17.0 0.0 17.0 -3.0
-15.0 0.0 15.0 -4.0
-15.0 0.0 15.0 -5.0
-17.0 0.0 17.0 -5.0
-14.0 0.0 14.0 -4.0
-15.0 0.0 15.0 -6.0
-13.0 0.0 13.0 -4.0
-15.0 0.0 15.0 -4.0
-16.0 0.0 16.0 -2.0
-13.0 0.0 13.0 -5.0
-13.0 0.0 13.0 -2.0
-14.0 0.0 14.0 -2.0
-15.0 0.0 15.0 -3.0
-11.0 0.0 11.0 -3.0
-15.0 0.0 15.0 -3.0
-17.0 0.0 17.0 -5.0
-15.0 0.0 15.0 -4.0
-18.0 0.0 18.0 -5.0
-18.0 0.0 18.0 -6.0
-14.0 0.0 14.0 -5.0
-14.0 0.0 14.0 -5.0
-15.0 0.0 15.0 -5.0
-13.0 0.0 13.0 -3.0
-15.0 0.0 15.0 -3.0
-13.0 0.0 13.0 -3.0
-12.0 0.0 12.0 -2.0
-10.0 0.0 10.0 -2.0
-16.0 0.0 16.0 -5.0
-16.0 0.0 16.0 -6.0
